Trie,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
Naive,5000,5000,16.6973,241.19,63692160
Naive,5000,10000,33.9841,264.35,118808480
Naive,5000,20000,61.4058,266.05,216775360
Naive,5000,40000,112.0128,249.86,388805760
Naive,5000,80000,193.5278,256.45,682505600
Naive,5000,160000,340.4893,252.88,1167908320
Naive,5000,320000,614.4187,328.96,1934316320

Trie,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
Tst,5000,5000,2.6600,269.01,2748537
Tst,5000,10000,5.4180,292.35,5118824
Tst,5000,20000,11.9284,404.40,9407456
Tst,5000,40000,25.3949,373.49,16956325
Tst,5000,80000,47.5466,392.06,29844193
Tst,5000,160000,116.1651,495.98,51288477
Tst,5000,320000,226.6537,527.79,85260758

Trie,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
Patricia,5000,5000,1.4544,126.96,990504
Patricia,5000,10000,3.2944,156.99,1981074
Patricia,5000,20000,9.0944,268.21,3962201
Patricia,5000,40000,18.3023,267.03,7924514
Patricia,5000,80000,44.3047,376.18,15849106
Patricia,5000,160000,120.5489,542.70,31698143
Patricia,5000,320000,304.7851,802.48,63396490

Trie,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
PatriciaOpt,5000,5000,1.5545,125.25,464528
PatriciaOpt,5000,10000,3.3872,166.01,929189
PatriciaOpt,5000,20000,8.7866,204.68,1857896
PatriciaOpt,5000,40000,18.2522,227.57,3716347
PatriciaOpt,5000,80000,42.5638,322.78,7432810
PatriciaOpt,5000,160000,117.7144,462.48,14866381
PatriciaOpt,5000,320000,291.6832,673.87,29733118
