Trie,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
Naive,10000,10000,7.0573,88.12,24856960
Naive,10000,20000,11.1008,99.45,37529280
Naive,10000,40000,19.5151,150.48,56005760
Naive,10000,80000,29.0370,178.79,83170240
Naive,10000,160000,41.4839,289.01,121433280
Naive,10000,320000,66.7006,509.69,174388800
Naive,10000,640000,102.2010,1002.09,251866240
Naive,10000,1280000,181.9668,2411.67,358583840

Trie,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
Tst,10000,10000,2.2829,187.12,1130289
Tst,10000,20000,4.4120,189.19,1774460
Tst,10000,40000,8.3704,215.16,2733858
Tst,10000,80000,17.2611,274.95,4166447
Tst,10000,160000,31.2463,354.81,6434346
Tst,10000,320000,62.5694,572.33,9943262
Tst,10000,640000,117.1381,1075.77,15620576
Tst,10000,1280000,235.1348,2404.71,25126585

Trie,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
Patricia,10000,10000,1.7442,134.27,767045
Patricia,10000,20000,3.4262,154.94,1262226
Patricia,10000,40000,6.6818,194.60,2052686
Patricia,10000,80000,13.3876,271.94,3315563
Patricia,10000,160000,27.4417,380.91,5375634
Patricia,10000,320000,57.9637,651.39,8799152
Patricia,10000,640000,118.4074,1174.32,14714136
Patricia,10000,1280000,254.4564,2614.10,25107806

Trie,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
PatriciaOpt,10000,10000,1.7704,131.70,386210
PatriciaOpt,10000,20000,3.3883,150.19,667344
PatriciaOpt,10000,40000,6.7283,183.44,1164687
PatriciaOpt,10000,80000,13.3102,256.92,1919626
PatriciaOpt,10000,160000,26.7361,365.74,3381801
PatriciaOpt,10000,320000,56.0775,628.43,5772453
PatriciaOpt,10000,640000,113.0804,1167.10,10532488
PatriciaOpt,10000,1280000,245.8444,2611.37,18978026
