SourceFile,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
../test_files/moby_dick.txt,1500,1500,1.5095,72.25,5738240
../test_files/moby_dick.txt,1500,3000,2.9249,97.87,9533760
../test_files/moby_dick.txt,1500,6000,4.4317,80.93,15683360
../test_files/moby_dick.txt,1500,12000,6.9465,81.71,24731520
../test_files/moby_dick.txt,1500,24000,13.4716,149.73,38692800
../test_files/moby_dick.txt,1500,48000,22.8015,149.87,58445120
../test_files/moby_dick.txt,1500,96000,29.4348,191.95,85750560
../test_files/moby_dick.txt,1500,192000,42.0083,345.40,121685120


SourceFile,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
../test_files/words_alpha.txt,5000,5000,16.6973,241.19,63692160
../test_files/words_alpha.txt,5000,10000,33.9841,264.35,118808480
../test_files/words_alpha.txt,5000,20000,61.4058,266.05,216775360
../test_files/words_alpha.txt,5000,40000,112.0128,249.86,388805760
../test_files/words_alpha.txt,5000,80000,193.5278,256.45,682505600
../test_files/words_alpha.txt,5000,160000,340.4893,252.88,1167908320
../test_files/words_alpha.txt,5000,320000,614.4187,328.96,1934316320


SourceFile,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
../test_files/alice_wonderland.txt,200,200,0.4553,223.29,902240
../test_files/alice_wonderland.txt,200,400,0.8616,84.75,1606880
../test_files/alice_wonderland.txt,200,800,1.1697,69.79,2668800
../test_files/alice_wonderland.txt,200,1600,1.4956,55.30,4208160
../test_files/alice_wonderland.txt,200,3200,1.9185,60.50,6789760
../test_files/alice_wonderland.txt,200,6400,3.1642,61.00,9862560
../test_files/alice_wonderland.txt,200,12800,4.4563,67.30,13778400
../test_files/alice_wonderland.txt,200,25600,6.5115,78.77,19230560


SourceFile,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
../test_files/leipzig1m.txt,10000,10000,7.0573,88.12,24856960
../test_files/leipzig1m.txt,10000,20000,11.1008,99.45,37529280
../test_files/leipzig1m.txt,10000,40000,19.5151,150.48,56005760
../test_files/leipzig1m.txt,10000,80000,29.0370,178.79,83170240
../test_files/leipzig1m.txt,10000,160000,41.4839,289.01,121433280
../test_files/leipzig1m.txt,10000,320000,66.7006,509.69,174388800
../test_files/leipzig1m.txt,10000,640000,102.2010,1002.09,251866240
../test_files/leipzig1m.txt,10000,1280000,181.9668,2411.67,358583840
