SourceFile,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
../test_files/words_alpha.txt,5000,5000,1.4544,126.96,990504
../test_files/words_alpha.txt,5000,10000,3.2944,156.99,1981074
../test_files/words_alpha.txt,5000,20000,9.0944,268.21,3962201
../test_files/words_alpha.txt,5000,40000,18.3023,267.03,7924514
../test_files/words_alpha.txt,5000,80000,44.3047,376.18,15849106
../test_files/words_alpha.txt,5000,160000,120.5489,542.70,31698143
../test_files/words_alpha.txt,5000,320000,304.7851,802.48,63396490


SourceFile,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
../test_files/leipzig1m.txt,10000,10000,1.7442,134.27,767045
../test_files/leipzig1m.txt,10000,20000,3.4262,154.94,1262226
../test_files/leipzig1m.txt,10000,40000,6.6818,194.60,2052686
../test_files/leipzig1m.txt,10000,80000,13.3876,271.94,3315563
../test_files/leipzig1m.txt,10000,160000,27.4417,380.91,5375634
../test_files/leipzig1m.txt,10000,320000,57.9637,651.39,8799152
../test_files/leipzig1m.txt,10000,640000,118.4074,1174.32,14714136
../test_files/leipzig1m.txt,10000,1280000,254.4564,2614.10,25107806


SourceFile,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
../test_files/alice_wonderland.txt,200,200,0.0284,79.60,26904
../test_files/alice_wonderland.txt,200,400,0.0503,84.36,47688
../test_files/alice_wonderland.txt,200,800,0.1078,92.24,76498
../test_files/alice_wonderland.txt,200,1600,0.2289,99.11,126476
../test_files/alice_wonderland.txt,200,3200,0.4484,108.52,206726
../test_files/alice_wonderland.txt,200,6400,0.8729,119.60,333959
../test_files/alice_wonderland.txt,200,12800,1.6555,136.08,533918
../test_files/alice_wonderland.txt,200,25600,3.1849,155.92,847291


SourceFile,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
../test_files/moby_dick.txt,1500,1500,0.2129,93.07,146499
../test_files/moby_dick.txt,1500,3000,0.4701,102.72,266973
../test_files/moby_dick.txt,1500,6000,0.9239,115.15,468123
../test_files/moby_dick.txt,1500,12000,1.8011,128.96,787078
../test_files/moby_dick.txt,1500,24000,3.6156,164.24,1311899
../test_files/moby_dick.txt,1500,48000,7.1450,204.26,2155998
../test_files/moby_dick.txt,1500,96000,14.3776,275.16,3521949
../test_files/moby_dick.txt,1500,192000,29.1924,434.17,5731058

