SourceFile,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
../test_files/words_alpha.txt,5000,5000,2.6600,269.01,2748537
../test_files/words_alpha.txt,5000,10000,5.4180,292.35,5118824
../test_files/words_alpha.txt,5000,20000,11.9284,404.40,9407456
../test_files/words_alpha.txt,5000,40000,25.3949,373.49,16956325
../test_files/words_alpha.txt,5000,80000,47.5466,392.06,29844193
../test_files/words_alpha.txt,5000,160000,116.1651,495.98,51288477
../test_files/words_alpha.txt,5000,320000,226.6537,527.79,85260758


SourceFile,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
../test_files/leipzig1m.txt,10000,10000,2.2829,187.12,1130289
../test_files/leipzig1m.txt,10000,20000,4.4120,189.19,1774460
../test_files/leipzig1m.txt,10000,40000,8.3704,215.16,2733858
../test_files/leipzig1m.txt,10000,80000,17.2611,274.95,4166447
../test_files/leipzig1m.txt,10000,160000,31.2463,354.81,6434346
../test_files/leipzig1m.txt,10000,320000,62.5694,572.33,9943262
../test_files/leipzig1m.txt,10000,640000,117.1381,1075.77,15620576
../test_files/leipzig1m.txt,10000,1280000,235.1348,2404.71,25126585


SourceFile,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
../test_files/alice_wonderland.txt,200,200,0.0758,281.57,41739
../test_files/alice_wonderland.txt,200,400,0.1310,266.37,69149
../test_files/alice_wonderland.txt,200,800,0.3252,250.96,119875
../test_files/alice_wonderland.txt,200,1600,0.5554,224.45,190444
../test_files/alice_wonderland.txt,200,3200,0.8663,182.59,302568
../test_files/alice_wonderland.txt,200,6400,1.3240,160.09,466741
../test_files/alice_wonderland.txt,200,12800,2.2745,166.43,685083
../test_files/alice_wonderland.txt,200,25600,4.3478,180.71,1021197


SourceFile,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
../test_files/moby_dick.txt,1500,1500,0.3299,158.30,252567
../test_files/moby_dick.txt,1500,3000,0.6756,154.64,414176
../test_files/moby_dick.txt,1500,6000,1.3213,177.21,689423
../test_files/moby_dick.txt,1500,12000,2.6342,180.60,1141038
../test_files/moby_dick.txt,1500,24000,5.0764,197.70,1826307
../test_files/moby_dick.txt,1500,48000,9.7448,220.67,2861404
../test_files/moby_dick.txt,1500,96000,20.3214,306.24,4388431
../test_files/moby_dick.txt,1500,192000,35.8095,434.05,6675839
