Trie,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
Naive, 200,200,0.4553,223.29,902240
Naive, 200,400,0.8616,84.75,1606880
Naive, 200,800,1.1697,69.79,2668800
Naive, 200,1600,1.4956,55.30,4208160
Naive, 200,3200,1.9185,60.50,6789760
Naive, 200,6400,3.1642,61.00,9862560
Naive, 200,12800,4.4563,67.30,13778400
Naive, 200,25600,6.5115,78.77,19230560

Trie,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
Tst,200,200,0.0758,281.57,41739
Tst,200,400,0.1310,266.37,69149
Tst,200,800,0.3252,250.96,119875
Tst,200,1600,0.5554,224.45,190444
Tst,200,3200,0.8663,182.59,302568
Tst,200,6400,1.3240,160.09,466741
Tst,200,12800,2.2745,166.43,685083
Tst,200,25600,4.3478,180.71,1021197

Trie,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
Patricia,200,200,0.0284,79.60,26904
Patricia,200,400,0.0503,84.36,47688
Patricia,200,800,0.1078,92.24,76498
Patricia,200,1600,0.2289,99.11,126476
Patricia,200,3200,0.4484,108.52,206726
Patricia,200,6400,0.8729,119.60,333959
Patricia,200,12800,1.6555,136.08,533918
Patricia,200,25600,3.1849,155.92,847291

Trie,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
PatriciaOpt,200,200,0.0424,96.11,13945
PatriciaOpt,200,400,0.0660,78.15,21843
PatriciaOpt,200,800,0.1200,85.87,38347
PatriciaOpt,200,1600,0.2481,94.54,67103
PatriciaOpt,200,3200,0.4563,103.45,109128
PatriciaOpt,200,6400,0.8626,111.19,186348
PatriciaOpt,200,12800,1.6178,131.03,319056
PatriciaOpt,200,25600,3.1295,148.46,523330
