SourceFile,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
../test_files/words_alpha.txt,5000,5000,1.5545,125.25,464528
../test_files/words_alpha.txt,5000,10000,3.3872,166.01,929189
../test_files/words_alpha.txt,5000,20000,8.7866,204.68,1857896
../test_files/words_alpha.txt,5000,40000,18.2522,227.57,3716347
../test_files/words_alpha.txt,5000,80000,42.5638,322.78,7432810
../test_files/words_alpha.txt,5000,160000,117.7144,462.48,14866381
../test_files/words_alpha.txt,5000,320000,291.6832,673.87,29733118


SourceFile,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
../test_files/leipzig1m.txt,10000,10000,1.7704,131.70,386210
../test_files/leipzig1m.txt,10000,20000,3.3883,150.19,667344
../test_files/leipzig1m.txt,10000,40000,6.7283,183.44,1164687
../test_files/leipzig1m.txt,10000,80000,13.3102,256.92,1919626
../test_files/leipzig1m.txt,10000,160000,26.7361,365.74,3381801
../test_files/leipzig1m.txt,10000,320000,56.0775,628.43,5772453
../test_files/leipzig1m.txt,10000,640000,113.0804,1167.10,10532488
../test_files/leipzig1m.txt,10000,1280000,245.8444,2611.37,18978026


SourceFile,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
../test_files/alice_wonderland.txt,200,200,0.0424,96.11,13945
../test_files/alice_wonderland.txt,200,400,0.0660,78.15,21843
../test_files/alice_wonderland.txt,200,800,0.1200,85.87,38347
../test_files/alice_wonderland.txt,200,1600,0.2481,94.54,67103
../test_files/alice_wonderland.txt,200,3200,0.4563,103.45,109128
../test_files/alice_wonderland.txt,200,6400,0.8626,111.19,186348
../test_files/alice_wonderland.txt,200,12800,1.6178,131.03,319056
../test_files/alice_wonderland.txt,200,25600,3.1295,148.46,523330


SourceFile,m_base_size,N,TotalInsertionTime_ms,AvgQueryTime_ns,TotalSpace_bytes
../test_files/moby_dick.txt,1500,1500,0.2725,96.67,76821
../test_files/moby_dick.txt,1500,3000,0.5205,104.64,136468
../test_files/moby_dick.txt,1500,6000,0.9803,116.39,247517
../test_files/moby_dick.txt,1500,12000,1.9317,131.39,407561
../test_files/moby_dick.txt,1500,24000,3.7463,158.65,712829
../test_files/moby_dick.txt,1500,48000,7.5071,196.77,1259657
../test_files/moby_dick.txt,1500,96000,14.5041,287.63,2101997
../test_files/moby_dick.txt,1500,192000,28.7970,427.70,3744677
